País,Estado,Sitio Estadíos,Estadio,Años,Pre-Post,Salida,COORDENADAS N,Coordenadas W,Altitud,GRUPO,ESPECIE,Fecha
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Phrynohyas venulosa,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,1,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,8/9/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Dendropsophus sartori,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,2,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,10/11/09
México,Jalisco,GargoyoBM,BM,BM,Pre,3,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,5/9/10
México,Jalisco,GargoyoBM,BM,BM,Pre,3,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,5/9/10
México,Jalisco,GargoyoBM,BM,BM,Pre,3,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Tlalocohyla smithii,5/9/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Diaglena spatulata,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
México,Jalisco,GargoyoBM,BM,BM,Pre,5,"19°24'16.4""N","104°58'59.0""W",14,ANFIBIO,Incilius marmoreus,10/6/10
